"question_no";"question_text";"answer_value";"answer_sum";"answer_ratio"
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"-1";3;0.008
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"ABBASTANZA";199;0.541
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"MOLTO";56;0.152
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"PER NIENTE";14;0.038
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"POCO";96;0.261
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"-1";9;0.024
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"FUNZIONI";128;0.348
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";124;0.337
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"LISTE E DIZIONARI";63;0.171
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"TIPI DI DATO E CONVERSIONI";32;0.087
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"VARIABILI";12;0.033
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"-1";9;0.024
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"FUNZIONI";20;0.054
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";60;0.163
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"LISTE E DIZIONARI";77;0.209
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"TIPI DI DATO E CONVERSIONI";43;0.117
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"VARIABILI";159;0.432
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";-1;2;0.005
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";1;10;0.027
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";2;37;0.101
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";3;142;0.386
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";4;115;0.312
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";5;62;0.168
"Q_5";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA SUL CONCETTO DI VARIABILI";-1;2;0.005
"Q_5";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA SUL CONCETTO DI VARIABILI";1;15;0.041
"Q_5";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA SUL CONCETTO DI VARIABILI";2;40;0.109
"Q_5";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA SUL CONCETTO DI VARIABILI";3;139;0.378
"Q_5";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA SUL CONCETTO DI VARIABILI";4;116;0.315
"Q_5";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA SUL CONCETTO DI VARIABILI";5;56;0.152
"Q_6";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DELLE ISTRUZIONI CONDIZIONALI (IF) ";-1;5;0.014
"Q_6";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DELLE ISTRUZIONI CONDIZIONALI (IF) ";1;19;0.052
"Q_6";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DELLE ISTRUZIONI CONDIZIONALI (IF) ";2;47;0.128
"Q_6";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DELLE ISTRUZIONI CONDIZIONALI (IF) ";3;136;0.37
"Q_6";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DELLE ISTRUZIONI CONDIZIONALI (IF) ";4;106;0.288
"Q_6";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DELLE ISTRUZIONI CONDIZIONALI (IF) ";5;55;0.149
"Q_7";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEI CICLI (FOR)";-1;3;0.008
"Q_7";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEI CICLI (FOR)";1;16;0.043
"Q_7";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEI CICLI (FOR)";2;51;0.139
"Q_7";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEI CICLI (FOR)";3;142;0.386
"Q_7";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEI CICLI (FOR)";4;100;0.272
"Q_7";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEI CICLI (FOR)";5;56;0.152
"Q_8";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEL CONCETTO DI FUNZIONE";-1;2;0.005
"Q_8";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEL CONCETTO DI FUNZIONE";1;18;0.049
"Q_8";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEL CONCETTO DI FUNZIONE";2;60;0.163
"Q_8";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEL CONCETTO DI FUNZIONE";3;126;0.342
"Q_8";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEL CONCETTO DI FUNZIONE";4;109;0.296
"Q_8";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEL CONCETTO DI FUNZIONE";5;53;0.144
"Q_9";"PENSO CHE MI PIACEREBBE UTILIZZARE QUESTO TUTORIAL FREQUENTEMENTE";-1;4;0.011
"Q_9";"PENSO CHE MI PIACEREBBE UTILIZZARE QUESTO TUTORIAL FREQUENTEMENTE";1;28;0.076
"Q_9";"PENSO CHE MI PIACEREBBE UTILIZZARE QUESTO TUTORIAL FREQUENTEMENTE";2;51;0.139
"Q_9";"PENSO CHE MI PIACEREBBE UTILIZZARE QUESTO TUTORIAL FREQUENTEMENTE";3;136;0.37
"Q_9";"PENSO CHE MI PIACEREBBE UTILIZZARE QUESTO TUTORIAL FREQUENTEMENTE";4;91;0.247
"Q_9";"PENSO CHE MI PIACEREBBE UTILIZZARE QUESTO TUTORIAL FREQUENTEMENTE";5;58;0.158
"Q_10";"HO TROVATO IL TUTORIAL INUTILMENTE COMPLESSO";-1;4;0.011
"Q_10";"HO TROVATO IL TUTORIAL INUTILMENTE COMPLESSO";1;129;0.351
"Q_10";"HO TROVATO IL TUTORIAL INUTILMENTE COMPLESSO";2;129;0.351
"Q_10";"HO TROVATO IL TUTORIAL INUTILMENTE COMPLESSO";3;70;0.19
"Q_10";"HO TROVATO IL TUTORIAL INUTILMENTE COMPLESSO";4;27;0.073
"Q_10";"HO TROVATO IL TUTORIAL INUTILMENTE COMPLESSO";5;9;0.024
"Q_11";"HO TROVATO IL TUTORIAL MOLTO SEMPLICE DA USARE";-1;5;0.014
"Q_11";"HO TROVATO IL TUTORIAL MOLTO SEMPLICE DA USARE";1;14;0.038
"Q_11";"HO TROVATO IL TUTORIAL MOLTO SEMPLICE DA USARE";2;39;0.106
"Q_11";"HO TROVATO IL TUTORIAL MOLTO SEMPLICE DA USARE";3;110;0.299
"Q_11";"HO TROVATO IL TUTORIAL MOLTO SEMPLICE DA USARE";4;117;0.318
"Q_11";"HO TROVATO IL TUTORIAL MOLTO SEMPLICE DA USARE";5;83;0.226
"Q_12";"PENSO CHE AVREI BISOGNO DEL SUPPORTO DI UNA PERSONA GIÀ IN GRADO DI UTILIZZARE IL TUTORIAL";-1;5;0.014
"Q_12";"PENSO CHE AVREI BISOGNO DEL SUPPORTO DI UNA PERSONA GIÀ IN GRADO DI UTILIZZARE IL TUTORIAL";1;92;0.25
"Q_12";"PENSO CHE AVREI BISOGNO DEL SUPPORTO DI UNA PERSONA GIÀ IN GRADO DI UTILIZZARE IL TUTORIAL";2;78;0.212
"Q_12";"PENSO CHE AVREI BISOGNO DEL SUPPORTO DI UNA PERSONA GIÀ IN GRADO DI UTILIZZARE IL TUTORIAL";3;100;0.272
"Q_12";"PENSO CHE AVREI BISOGNO DEL SUPPORTO DI UNA PERSONA GIÀ IN GRADO DI UTILIZZARE IL TUTORIAL";4;56;0.152
"Q_12";"PENSO CHE AVREI BISOGNO DEL SUPPORTO DI UNA PERSONA GIÀ IN GRADO DI UTILIZZARE IL TUTORIAL";5;37;0.101
"Q_13";"HO TROVATO LE VARIE FUNZIONALITÀ DEL TUTORIAL BENE INTEGRATE";-1;5;0.014
"Q_13";"HO TROVATO LE VARIE FUNZIONALITÀ DEL TUTORIAL BENE INTEGRATE";1;7;0.019
"Q_13";"HO TROVATO LE VARIE FUNZIONALITÀ DEL TUTORIAL BENE INTEGRATE";2;31;0.084
"Q_13";"HO TROVATO LE VARIE FUNZIONALITÀ DEL TUTORIAL BENE INTEGRATE";3;135;0.367
"Q_13";"HO TROVATO LE VARIE FUNZIONALITÀ DEL TUTORIAL BENE INTEGRATE";4;142;0.386
"Q_13";"HO TROVATO LE VARIE FUNZIONALITÀ DEL TUTORIAL BENE INTEGRATE";5;48;0.13
"Q_14";"HO TROVATO INCOERENZE TRA LE VARIE FUNZIONALITÀ DEL TUTORIAL";-1;7;0.019
"Q_14";"HO TROVATO INCOERENZE TRA LE VARIE FUNZIONALITÀ DEL TUTORIAL";1;143;0.389
"Q_14";"HO TROVATO INCOERENZE TRA LE VARIE FUNZIONALITÀ DEL TUTORIAL";2;90;0.245
"Q_14";"HO TROVATO INCOERENZE TRA LE VARIE FUNZIONALITÀ DEL TUTORIAL";3;88;0.239
"Q_14";"HO TROVATO INCOERENZE TRA LE VARIE FUNZIONALITÀ DEL TUTORIAL";4;30;0.082
"Q_14";"HO TROVATO INCOERENZE TRA LE VARIE FUNZIONALITÀ DEL TUTORIAL";5;10;0.027
"Q_15";"PENSO CHE LA MAGGIOR PARTE DELLE PERSONE POSSANO IMPARARE AD UTILIZZARE IL TUTORIAL FACILMENTE";-1;6;0.016
"Q_15";"PENSO CHE LA MAGGIOR PARTE DELLE PERSONE POSSANO IMPARARE AD UTILIZZARE IL TUTORIAL FACILMENTE";1;12;0.033
"Q_15";"PENSO CHE LA MAGGIOR PARTE DELLE PERSONE POSSANO IMPARARE AD UTILIZZARE IL TUTORIAL FACILMENTE";2;40;0.109
"Q_15";"PENSO CHE LA MAGGIOR PARTE DELLE PERSONE POSSANO IMPARARE AD UTILIZZARE IL TUTORIAL FACILMENTE";3;115;0.312
"Q_15";"PENSO CHE LA MAGGIOR PARTE DELLE PERSONE POSSANO IMPARARE AD UTILIZZARE IL TUTORIAL FACILMENTE";4;114;0.31
"Q_15";"PENSO CHE LA MAGGIOR PARTE DELLE PERSONE POSSANO IMPARARE AD UTILIZZARE IL TUTORIAL FACILMENTE";5;81;0.22
"Q_16";"HO TROVATO IL TUTORIAL MOLTO DIFFICILE DA UTILIZZARE";-1;7;0.019
"Q_16";"HO TROVATO IL TUTORIAL MOLTO DIFFICILE DA UTILIZZARE";1;140;0.38
"Q_16";"HO TROVATO IL TUTORIAL MOLTO DIFFICILE DA UTILIZZARE";2;96;0.261
"Q_16";"HO TROVATO IL TUTORIAL MOLTO DIFFICILE DA UTILIZZARE";3;75;0.204
"Q_16";"HO TROVATO IL TUTORIAL MOLTO DIFFICILE DA UTILIZZARE";4;38;0.103
"Q_16";"HO TROVATO IL TUTORIAL MOLTO DIFFICILE DA UTILIZZARE";5;12;0.033
"Q_17";"MI SONO SENTITO A MIO AGIO NELL’UTILIZZARE IL TUTORIAL";-1;4;0.011
"Q_17";"MI SONO SENTITO A MIO AGIO NELL’UTILIZZARE IL TUTORIAL";1;14;0.038
"Q_17";"MI SONO SENTITO A MIO AGIO NELL’UTILIZZARE IL TUTORIAL";2;40;0.109
"Q_17";"MI SONO SENTITO A MIO AGIO NELL’UTILIZZARE IL TUTORIAL";3;108;0.293
"Q_17";"MI SONO SENTITO A MIO AGIO NELL’UTILIZZARE IL TUTORIAL";4;110;0.299
"Q_17";"MI SONO SENTITO A MIO AGIO NELL’UTILIZZARE IL TUTORIAL";5;92;0.25
"Q_18";"HO AVUTO BISOGNO DI IMPARARE MOLTI PROCESSI PRIMA DI RIUSCIRE AD UTILIZZARE AL MEGLIO IL TUTORIAL";-1;5;0.014
"Q_18";"HO AVUTO BISOGNO DI IMPARARE MOLTI PROCESSI PRIMA DI RIUSCIRE AD UTILIZZARE AL MEGLIO IL TUTORIAL";1;102;0.277
"Q_18";"HO AVUTO BISOGNO DI IMPARARE MOLTI PROCESSI PRIMA DI RIUSCIRE AD UTILIZZARE AL MEGLIO IL TUTORIAL";2;93;0.253
"Q_18";"HO AVUTO BISOGNO DI IMPARARE MOLTI PROCESSI PRIMA DI RIUSCIRE AD UTILIZZARE AL MEGLIO IL TUTORIAL";3;110;0.299
"Q_18";"HO AVUTO BISOGNO DI IMPARARE MOLTI PROCESSI PRIMA DI RIUSCIRE AD UTILIZZARE AL MEGLIO IL TUTORIAL";4;40;0.109
"Q_18";"HO AVUTO BISOGNO DI IMPARARE MOLTI PROCESSI PRIMA DI RIUSCIRE AD UTILIZZARE AL MEGLIO IL TUTORIAL";5;18;0.049
"Q_19";"-1-";-1;6;0.016
"Q_19";"-1-";1;7;0.019
"Q_19";"-1-";2;12;0.033
"Q_19";"-1-";3;19;0.052
"Q_19";"-1-";4;67;0.182
"Q_19";"-1-";5;67;0.182
"Q_19";"-1-";6;107;0.291
"Q_19";"-1-";7;83;0.226
"Q_20";"-2-";-1;6;0.016
"Q_20";"-2-";1;8;0.022
"Q_20";"-2-";2;31;0.084
"Q_20";"-2-";3;40;0.109
"Q_20";"-2-";4;82;0.223
"Q_20";"-2-";5;87;0.236
"Q_20";"-2-";6;66;0.179
"Q_20";"-2-";7;48;0.13
"Q_21";"-3-";-1;11;0.03
"Q_21";"-3-";1;12;0.033
"Q_21";"-3-";2;16;0.043
"Q_21";"-3-";3;20;0.054
"Q_21";"-3-";4;70;0.19
"Q_21";"-3-";5;94;0.255
"Q_21";"-3-";6;86;0.234
"Q_21";"-3-";7;59;0.16
"Q_22";"-4-";-1;7;0.019
"Q_22";"-4-";1;8;0.022
"Q_22";"-4-";2;14;0.038
"Q_22";"-4-";3;37;0.101
"Q_22";"-4-";4;67;0.182
"Q_22";"-4-";5;91;0.247
"Q_22";"-4-";6;82;0.223
"Q_22";"-4-";7;62;0.168
"Q_23";"-5-";-1;8;0.022
"Q_23";"-5-";1;15;0.041
"Q_23";"-5-";2;18;0.049
"Q_23";"-5-";3;44;0.12
"Q_23";"-5-";4;115;0.312
"Q_23";"-5-";5;84;0.228
"Q_23";"-5-";6;52;0.141
"Q_23";"-5-";7;32;0.087
"Q_24";"-6-";-1;10;0.027
"Q_24";"-6-";1;14;0.038
"Q_24";"-6-";2;14;0.038
"Q_24";"-6-";3;29;0.079
"Q_24";"-6-";4;85;0.231
"Q_24";"-6-";5;98;0.266
"Q_24";"-6-";6;64;0.174
"Q_24";"-6-";7;54;0.147
"Q_25";"-7-";-1;9;0.024
"Q_25";"-7-";1;7;0.019
"Q_25";"-7-";2;16;0.043
"Q_25";"-7-";3;38;0.103
"Q_25";"-7-";4;98;0.266
"Q_25";"-7-";5;85;0.231
"Q_25";"-7-";6;57;0.155
"Q_25";"-7-";7;58;0.158
"Q_26";"-8-";-1;8;0.022
"Q_26";"-8-";1;8;0.022
"Q_26";"-8-";2;10;0.027
"Q_26";"-8-";3;23;0.062
"Q_26";"-8-";4;94;0.255
"Q_26";"-8-";5;77;0.209
"Q_26";"-8-";6;82;0.223
"Q_26";"-8-";7;66;0.179
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";-1;49;0.133
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";20;63;0.171
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";21;178;0.484
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";22;37;0.101
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";23;12;0.033
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";24;9;0.024
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";25;5;0.014
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";27;2;0.005
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";28;2;0.005
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";29;3;0.008
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";31;3;0.008
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";34;1;0.003
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";35;1;0.003
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";45;2;0.005
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):";2021;1;0.003
"Q_28";"GENERE";"-1";7;0.019
"Q_28";"GENERE";"ALTRO ...";5;0.014
"Q_28";"GENERE";"FEMMINA";170;0.462
"Q_28";"GENERE";"MASCHIO";176;0.478
"Q_28";"GENERE";"PREFERISCO NON RISPONDERE";10;0.027
